Language,Emoji&hashtag,Train/test,Model,Model_Specification,TF-IDF,Balance,Average_accuracy_30IT,Std_deviation
Spanish,No,70/30,SVM,"Linear kernel, standard C",Yes,No,74.2041960571532,0.6954825382559146
Spanish,No,70/30,SVM,"Linear kernel, standard C",No,Yes,71.86599065513471,0.8032213888746073
Spanish,No,70/30,SVM,"Linear kernel, standard C",No,No,72.1351058057515,0.6147979217203383
Spanish,No,70/30,SVM,"Linear kernel, large C",Yes,Yes,69.92643403916891,0.9333931075563788
Spanish,No,70/30,SVM,"Linear kernel, large C",Yes,No,70.04431181045396,0.6016845674784769
Spanish,No,70/30,SVM,"Linear kernel, large C",No,Yes,69.73655432945621,0.7066747022627823
Spanish,No,70/30,SVM,"Linear kernel, large C",No,No,69.98281786941581,0.6435328285753539
Spanish,No,70/30,SVM,"RBF kernel, small C",Yes,Yes,58.24137588229446,3.376204704577215
Spanish,No,70/30,SVM,"RBF kernel, small C",Yes,No,58.448182311448726,0.6312655554074001
Spanish,No,70/30,SVM,"RBF kernel, small C",No,Yes,65.6864499453226,0.9411243132340016
Spanish,No,70/30,SVM,"RBF kernel, small C",No,No,63.99801049014288,0.7996230896855451
Spanish,No,70/30,SVM,"RBF kernel, standard C",Yes,Yes,74.88418331842132,0.7371710303540939
Spanish,No,70/30,SVM,"RBF kernel, standard C",Yes,No,74.92494121902695,0.6793051458850665
Spanish,No,70/30,SVM,"RBF kernel, standard C",No,Yes,74.2280544785764,0.69206188516124
Spanish,No,70/30,SVM,"RBF kernel, standard C",No,No,74.61656719117381,0.599673364662127
Spanish,No,70/30,SVM,"RBF kernel, large C",Yes,Yes,74.36524505418033,0.7711306755488377
Spanish,No,70/30,SVM,"RBF kernel, large C",Yes,No,74.71332971604268,0.6688000076798156
Spanish,No,70/30,SVM,"RBF kernel, large C",No,Yes,73.92683169301124,0.7940947296406634
Spanish,No,70/30,SVM,"RBF kernel, large C",No,No,74.29914993669742,0.6079893122990714
Spanish,No,70/30,LR,"Liblinear solver, small C",Yes,Yes,72.37101103489412,0.9590690759411047
Spanish,No,70/30,LR,"Liblinear solver, small C",Yes,No,69.03960933260987,0.8677520746121393
Spanish,No,70/30,LR,"Liblinear solver, small C",No,Yes,73.91689034695298,0.7290524824374367
Spanish,No,70/30,LR,"Liblinear solver, small C",No,No,73.96274190631217,0.703315363133737
Spanish,No,70/30,LR,"Liblinear solver, standard C",Yes,Yes,74.28074361268516,0.49327063521293335
Spanish,No,70/30,LR,"Liblinear solver, standard C",Yes,No,74.72960752396455,0.5532809670078149
Spanish,No,70/30,LR,"Liblinear solver, standard C",No,Yes,73.77572323292574,0.618749350025348
Spanish,No,70/30,LR,"Liblinear solver, standard C",No,No,74.26116838487972,0.6529391883353848
Spanish,No,70/30,LR,"Liblinear solver, large C",Yes,Yes,73.23690227656824,0.7521125547850598
Spanish,No,70/30,LR,"Liblinear solver, large C",Yes,No,73.58292638813529,0.614532972882421
Spanish,No,70/30,LR,"Liblinear solver, large C",No,Yes,72.47539516850581,0.5649138584320813
Spanish,No,70/30,LR,"Liblinear solver, large C",No,No,72.90920600470248,0.6906340140131882
Spanish,No,70/30,LR,"Lbfgs solver, small C",Yes,Yes,72.34019286211353,0.7319076751818356
Spanish,No,70/30,LR,"Lbfgs solver, small C",Yes,No,69.22228251039971,0.8670010518020824
Spanish,No,70/30,LR,"Lbfgs solver, small C",No,Yes,73.85923053981509,0.6766451722540034
Spanish,No,70/30,LR,"Lbfgs solver, small C",No,No,73.96816784228614,0.6839890972426793
Spanish,No,70/30,LR,"Lbfgs solver, standard C",Yes,Yes,74.46366438015707,0.5332603902093307
Spanish,No,70/30,LR,"Lbfgs solver, standard C",Yes,No,74.39862542955326,0.4184958878205742
Spanish,No,70/30,LR,"Lbfgs solver, standard C",No,Yes,74.04612784571032,0.5528031438708282
